codepoint,emoji,semantic_name,usage_count,sample_file,sample_line,art_status
U+1FA99,🪙,coin,118,lib/core/widgets/coin_countup_chip.dart,48,in-review
U+02705,✅,white_heavy_check_mark,54,lib/features/admin/admin_dashboard_screen.dart,4609,in-review
U+1F389,🎉,party_popper,51,lib/core/widgets/ramadan_countdown.dart,65,in-review
U+1F3C6,🏆,trophy,30,lib/core/providers/achievement_provider.dart,58,in-review
U+0274C,❌,cross_mark,28,lib/features/anagram/anagram_screen.dart,256,in-review
U+1F525,🔥,fire,26,lib/core/models/quiz_difficulty.dart,25,in-review
U+1F4A1,💡,electric_light_bulb,26,lib/core/widgets/lifeline_bar.dart,133,in-review
U+1F522,🔢,input_symbol_for_numbers,24,lib/core/agents/learning_path.dart,46,in-review
U+1F9E0,🧠,brain,24,lib/core/agents/learning_path.dart,47,in-review
U+1F30D,🌍,earth_globe_europe_africa,21,lib/core/agents/learning_path.dart,54,in-review
U+1F4D6,📖,open_book,21,lib/core/data/madrasati_data.dart,1533,in-review
U+1F3AF,🎯,direct_hit,19,lib/core/providers/achievement_provider.dart,73,in-review
U+026A1,⚡,high_voltage_sign,16,lib/core/data/madrasati_data.dart,8118,in-review
U+1F680,🚀,rocket,16,lib/core/logic/did_you_know.dart,67,in-review
U+02713,✓,check_mark,15,lib/core/data/madrasati_data.dart,7605,in-review
U+1F4DA,📚,books,14,lib/core/data/madrasati_data.dart,22,in-review
U+1F54C,🕌,mosque,13,lib/core/data/madrasati_data.dart,765,in-review
U+1F622,😢,crying_face,13,lib/features/battleship/battleship_screen.dart,286,in-review
U+1F52C,🔬,microscope,12,lib/core/agents/learning_path.dart,45,in-review
U+02764,❤,heavy_black_heart,12,lib/features/balloon_pop/balloon_pop_screen.dart,206,in-review
U+1F31F,🌟,glowing_star,11,lib/core/providers/achievement_provider.dart,98,in-review
U+1F989,🦉,owl,11,lib/core/providers/family_profiles_provider.dart,61,in-review
U+1F4A5,💥,collision_symbol,11,lib/features/asteroid_dodge/asteroid_dodge_screen.dart,108,in-review
U+1F98A,🦊,fox_face,9,lib/core/logic/did_you_know.dart,87,in-review
U+1F91D,🤝,handshake,9,lib/core/providers/achievement_provider.dart,149,in-review
U+1F9E9,🧩,jigsaw_puzzle_piece,9,lib/features/home/activity_catalog.dart,449,in-review
U+1F916,🤖,robot_face,8,lib/core/widgets/onboarding_overlay.dart,201,in-review
U+02728,✨,sparkles,8,lib/features/achievements/presentation/screens/trophy_room_screen.dart,260,in-review
U+1F3F7,🏷,label,7,lib/core/agents/learning_path.dart,48,in-review
U+1F4D0,📐,triangular_ruler,7,lib/core/data/madrasati_data.dart,7106,in-review
U+1F319,🌙,crescent_moon,7,lib/core/logic/did_you_know.dart,27,in-review
U+1F451,👑,crown,7,lib/core/providers/achievement_provider.dart,139,in-review
U+1F310,🌐,globe_with_meridians,7,lib/core/router/app_router.dart,1534,in-review
U+1F4AA,💪,flexed_biceps,7,lib/features/capitals/presentation/widgets/game_over_overlay.dart,9,in-review
U+02797,➗,heavy_division_sign,7,lib/features/home/activity_catalog.dart,540,in-review
U+1F3B4,🎴,flower_playing_cards,7,lib/features/home/activity_catalog.dart,841,in-review
U+1F9CA,🧊,ice_cube,7,lib/features/home/activity_catalog.dart,887,in-review
U+1F381,🎁,wrapped_present,7,lib/features/home/activity_catalog.dart,1302,in-review
U+1F468,👨,man,7,lib/features/home/activity_catalog.dart,1335,in-review
U+1F504,🔄,anticlockwise_downwards_and_upwards_open,7,lib/features/home/home_screen.dart,644,in-review
U+1F6A9,🚩,triangular_flag_on_post,6,lib/core/agents/learning_path.dart,44,in-review
U+1F393,🎓,graduation_cap,6,lib/core/data/madrasati_data.dart,46,in-review
U+1F34E,🍎,red_apple,6,lib/core/widgets/onboarding_overlay.dart,202,in-review
U+1F3C5,🏅,sports_medal,6,lib/features/achievements/presentation/screens/certificate_screen.dart,204,in-review
U+1F50A,🔊,speaker_with_three_sound_waves,6,lib/features/admin/admin_assets.dart,43,in-review
U+1F524,🔤,input_symbol_for_latin_letters,6,lib/features/admin/admin_assets.dart,45,in-review
U+02600,☀,black_sun_with_rays,6,lib/features/athkar/athkar_screen.dart,62,in-review
U+1F4A3,💣,bomb,6,lib/features/balloon_pop/balloon_pop_screen.dart,36,in-review
U+1F43C,🐼,panda_face,6,lib/features/find_twin/find_twin_screen.dart,30,in-review
U+1F984,🦄,unicorn_face,6,lib/features/find_twin/find_twin_screen.dart,44,in-review
U+1F3B2,🎲,game_die,6,lib/features/home/activity_catalog.dart,313,in-review
U+1F4CA,📊,bar_chart,5,lib/core/data/madrasati_data.dart,8025,in-review
U+026BD,⚽,soccer_ball,5,lib/core/widgets/onboarding_overlay.dart,197,in-review
U+1F388,🎈,balloon,5,lib/features/balloon_pop/balloon_pop_screen.dart,36,in-review
U+1F469,👩,woman,5,lib/features/home/activity_catalog.dart,1335,in-review
U+1F467,👧,girl,5,lib/features/home/activity_catalog.dart,1335,in-review
U+1F432,🐲,dragon_face,5,lib/features/iq/presentation/screens/brain_boost_daily_screen.dart,248,in-review
U+1F33F,🌿,herb,4,lib/core/agents/encouragement.dart,17,in-review
U+1F3DB,🏛,classical_building,4,lib/core/agents/learning_path.dart,43,in-review
U+1F535,🔵,large_blue_circle,4,lib/core/data/madrasati_data.dart,5325,in-review
U+02697,⚗,alembic,4,lib/core/data/madrasati_data.dart,7207,in-review
U+1F308,🌈,rainbow,4,lib/core/providers/achievement_provider.dart,124,in-review
U+1F9D9,🧙,mage,4,lib/core/providers/outfits_provider.dart,46,in-review
U+1F4E6,📦,package,4,lib/features/admin/admin_assets.dart,49,in-review
U+1F615,😕,confused_face,4,lib/features/capitals/presentation/screens/capitals_quiz_screen.dart,986,in-review
U+1F30F,🌏,earth_globe_asia_australia,4,lib/features/capitals/presentation/screens/capitals_screen.dart,39,in-review
U+1F3F3,🏳,waving_white_flag,4,lib/features/daily_challenge/presentation/daily_challenge_screen.dart,357,in-review
U+1F3C0,🏀,basketball_and_hoop,4,lib/features/find_twin/find_twin_screen.dart,64,in-review
U+1F9AB,🦫,beaver,4,lib/features/home/activity_catalog.dart,997,in-review
U+1F338,🌸,cherry_blossom,4,lib/features/memory_match/memory_match_screen.dart,41,in-review
U+1F331,🌱,seedling,3,lib/core/data/madrasati_data.dart,13,in-review
U+1F9EA,🧪,test_tube,3,lib/core/data/madrasati_data.dart,4668,in-review
U+1F3A8,🎨,artist_palette,3,lib/core/data/madrasati_data.dart,5207,in-review
U+1F98B,🦋,butterfly,3,lib/core/logic/did_you_know.dart,62,in-review
U+1F50D,🔍,left_pointing_magnifying_glass,3,lib/core/providers/achievement_provider.dart,68,in-review
U+1F409,🐉,dragon,3,lib/core/providers/achievement_provider.dart,144,in-review
U+1F947,🥇,first_place_medal,3,lib/core/providers/outfits_provider.dart,60,in-review
U+1F9ED,🧭,compass,3,lib/core/router/app_router.dart,441,in-review
U+1F4DC,📜,scroll,3,lib/features/achievements/presentation/screens/certificate_screen.dart,109,in-review
U+1F3B5,🎵,musical_note,3,lib/features/beat_tap/beat_tap_screen.dart,307,in-review
U+1F3B3,🎳,bowling,3,lib/features/bowling/bowling_screen.dart,271,in-review
U+1F552,🕒,clock_face_three_oclock,3,lib/features/clock_read/clock_read_screen.dart,244,in-review
U+1F380,🎀,ribbon,3,lib/features/color_mix/color_mix_screen.dart,417,in-review
U+1F414,🐔,chicken,3,lib/features/crossy_lane/crossy_lane_screen.dart,262,in-review
U+026AA,⚪,medium_white_circle,3,lib/features/cup_shuffle/cup_shuffle_screen.dart,168,in-review
U+1F40D,🐍,snake,3,lib/features/find_twin/find_twin_screen.dart,48,in-review
U+1FAA2,🪢,knot,3,lib/features/hangman/hangman_screen.dart,425,in-review
U+02699,⚙,gear,3,lib/features/home/activity_catalog.dart,77,in-review
U+1F6E1,🛡,shield,3,lib/features/home/activity_catalog.dart,269,in-review
U+02716,✖,heavy_multiplication_x,3,lib/features/home/activity_catalog.dart,506,in-review
U+1F7EA,🟪,large_purple_square,3,lib/features/home/activity_catalog.dart,786,in-review
U+1F7E1,🟡,large_yellow_circle,3,lib/features/home/activity_catalog.dart,852,in-review
U+026AB,⚫,medium_black_circle,3,lib/features/home/activity_catalog.dart,1153,in-review
U+1F7E6,🟦,large_blue_square,3,lib/features/home/activity_catalog.dart,1164,in-review
U+1F3EB,🏫,school,3,lib/features/home/activity_catalog.dart,1277,in-review
U+1F4F1,📱,mobile_phone,3,lib/features/legal/install_guide_screen.dart,54,in-review
U+1F4C5,📅,calendar,3,lib/features/parent/presentation/parent_screen.dart,740,in-review
U+1F466,👦,boy,3,lib/features/parent/presentation/parent_screen.dart,784,in-review
U+02603,☃,snowman,3,lib/l10n/app_localizations.dart,674,in-review
U+1F4BB,💻,personal_computer,2,lib/core/data/madrasati_data.dart,3846,in-review
U+1F41D,🐝,honeybee,2,lib/core/logic/did_you_know.dart,22,in-review
